Area,Bauteiltyp,Fenster/Türnummer,Flügelanzahl,GUID,Geschoss,Height,IfcType,IsExternal,Material,Name,Perimeter,Raumnummer,Rohbaubreite,Rohbauhöhe,Status,Width,Zugehörigkeit,id,Öffnungsrichtung
7.7,Fenster,0.EG--Fenster-001,3 Flügel,3s_zmCBwz1KwauAhYsD$WC,EG,2.2,IfcWindow,True,,Fenster-001,11.4,,3.5,2.2,['EXISTING'],3.5,EG--,2435,
7.7,Fenster,0.EG--Fenster-001,3 Flügel,16e0lg$Sz14fRAwrUSoP1O,EG,2.2,IfcWindow,True,,Fenster-001,11.4,,3.5,2.2,['EXISTING'],3.5,EG--,3732,
7.7,Fenster,0.EG--Fenster-002,3 Flügel,0PTt1B30TBpPgvbEADxnAB,EG,2.2,IfcWindow,True,,Fenster-002,11.4,,3.5,2.2,['EXISTING'],3.5,EG--,3813,
7.7,Fenster,0.EG--Fenster-003,3 Flügel,3j3fY6t8D14gCYpS9zI$qs,EG,2.2,IfcWindow,True,,Fenster-003,11.4,,3.5,2.2,['EXISTING'],3.5,EG--,7102,
7.7,Fenster,0.EG--Fenster-004,3 Flügel,3DGShZcYL2nhPRPEf53ITa,EG,2.2,IfcWindow,True,,Fenster-004,11.4,,3.5,2.2,['EXISTING'],3.5,EG--,7183,
7.7,Fenster,0.EG--Fenster-005,3 Flügel,28ye_Y7wLDCvvANMyaxKhU,EG,2.2,IfcWindow,True,,Fenster-005,11.4,,3.5,2.2,['EXISTING'],3.5,EG--,7264,
4.4,Fenster,0.EG--Fenster-006,3 Flügel,3JtHoLCTzC4vMRAoVmL_Sm,EG,2.2,IfcWindow,True,,Fenster-006,8.4,,2.0,2.2,['EXISTING'],2.0,EG--,9472,
4.4,Fenster,0.EG--Fenster-007,3 Flügel,1Q2SdjW_rBd8L2IpDdb9vq,EG,2.2,IfcWindow,True,,Fenster-007,8.4,,2.0,2.2,['EXISTING'],2.0,EG--,10763,
4.4,Fenster,0.EG--Fenster-006,3 Flügel,2emtezWTXFdxidPQwjgHnE,EG,2.2,IfcWindow,True,,Fenster-006,8.4,,2.0,2.2,['EXISTING'],2.0,EG--,10844,
7.7,Fenster,0.EG--Fenster-001,3 Flügel,2ZK8OHE2f1IvRnW9EpeJGc,EG,2.2,IfcWindow,True,,Fenster-001,11.4,,3.5,2.2,['EXISTING'],3.5,EG--,11797,
7.7,Fenster,0.EG--Fenster-001,3 Flügel,356Ik9iG5DaxEYdR$Vo21g,EG,2.2,IfcWindow,True,,Fenster-001,11.4,,3.5,2.2,['EXISTING'],3.5,EG--,11878,
7.7,Fenster,0.EG--Fenster-002,3 Flügel,2Ar49AJnbAdAu4IXeKu_6e,EG,2.2,IfcWindow,True,,Fenster-002,11.4,,3.5,2.2,['EXISTING'],3.5,EG--,11959,
4.4,Fenster,0.EG--Fenster-006,3 Flügel,0RkwJZL3v3QP5WoG0CHOKd,EG,2.2,IfcWindow,True,,Fenster-006,8.4,,2.0,2.2,['EXISTING'],2.0,EG--,12976,
4.4,Fenster,0.EG--Fenster-007,3 Flügel,0uzdYT5ZX8GwGWk8xNWMEf,EG,2.2,IfcWindow,True,,Fenster-007,8.4,,2.0,2.2,['EXISTING'],2.0,EG--,13057,
4.4,Fenster,0.EG--Fenster-008,3 Flügel,1X2iqJe6z5GPBGuMKY$uzW,EG,2.2,IfcWindow,True,,Fenster-008,8.4,,2.0,2.2,['EXISTING'],2.0,EG--,13138,
7.7,Fenster,0.EG--Fenster-003,3 Flügel,3W19YB6ynAY8mYDI_qtLI4,EG,2.2,IfcWindow,True,,Fenster-003,11.4,,3.5,2.2,['EXISTING'],3.5,EG--,14115,
7.7,Fenster,0.EG--Fenster-004,3 Flügel,2lD16DEa55hvKXlUBqriwn,EG,2.2,IfcWindow,True,,Fenster-004,11.4,,3.5,2.2,['EXISTING'],3.5,EG--,14196,
7.7,Fenster,0.EG--Fenster-005,3 Flügel,3$e3dabqz5jOobp9CiC1bg,EG,2.2,IfcWindow,True,,Fenster-005,11.4,,3.5,2.2,['EXISTING'],3.5,EG--,14277,
1.75,Fenster,0.EG--Fenster-001,4 Flügel,0brjLQeHvCUBIJpZTv_O6C,EG,0.5,IfcWindow,True,,Fenster-001,8.0,,3.5,0.5,['EXISTING'],3.5,EG--,76749,
1.75,Fenster,0.EG--Fenster-001,4 Flügel,0ILK2aj3P3vAES4Razsflg,EG,0.5,IfcWindow,True,,Fenster-001,8.0,,3.5,0.5,['EXISTING'],3.5,EG--,76834,
1.75,Fenster,0.EG--Fenster-001,4 Flügel,1lDWYEggbBDfRefPYAF_59,EG,0.5,IfcWindow,True,,Fenster-001,8.0,,3.5,0.5,['EXISTING'],3.5,EG--,76915,
1.75,Fenster,0.EG--Fenster-001,4 Flügel,2Nc0wpLIL35eLfxBzJzB0e,EG,0.5,IfcWindow,True,,Fenster-001,8.0,,3.5,0.5,['EXISTING'],3.5,EG--,79773,
1.75,Fenster,0.EG--Fenster-002,4 Flügel,2IFBOuncv9ZAL1Z3vZn2Ai,EG,0.5,IfcWindow,True,,Fenster-002,8.0,,3.5,0.5,['EXISTING'],3.5,EG--,81265,
1.75,Fenster,0.EG--Fenster-003,4 Flügel,03iMzmUAb70PMTR4_SK9cw,EG,0.5,IfcWindow,True,,Fenster-003,8.0,,3.5,0.5,['EXISTING'],3.5,EG--,81346,
1.75,Fenster,0.EG--Fenster-001,4 Flügel,12NndbDCH1cR7QnFE6evbt,EG,0.5,IfcWindow,True,,Fenster-001,8.0,,3.5,0.5,['EXISTING'],3.5,EG--,83457,
1.75,Fenster,0.EG--Fenster-001,4 Flügel,0PXnMxPWzFA9FqFep1Eivt,EG,0.5,IfcWindow,True,,Fenster-001,8.0,,3.5,0.5,['EXISTING'],3.5,EG--,83538,
1.75,Fenster,0.EG--Fenster-001,4 Flügel,0KsqCi57n6fgoPiA2My0sT,EG,0.5,IfcWindow,True,,Fenster-001,8.0,,3.5,0.5,['EXISTING'],3.5,EG--,83619,
1.75,Fenster,0.EG--Fenster-001,4 Flügel,1IadlJXTzCWPn8zP$tpFk8,EG,0.5,IfcWindow,True,,Fenster-001,8.0,,3.5,0.5,['EXISTING'],3.5,EG--,86477,
1.75,Fenster,0.EG--Fenster-002,4 Flügel,1oSTvjg5b9$e4W8MV8zZEg,EG,0.5,IfcWindow,True,,Fenster-002,8.0,,3.5,0.5,['EXISTING'],3.5,EG--,86558,
1.75,Fenster,0.EG--Fenster-003,4 Flügel,1kD57oQ05FQBsIgJntiuUU,EG,0.5,IfcWindow,True,,Fenster-003,8.0,,3.5,0.5,['EXISTING'],3.5,EG--,86639,
2.0,Fenster,0.EG--Fenster-006,3 Flügel,366xFG1tX9Ie1oMPvAcM9j,EG,1.0,IfcWindow,True,,Fenster-006,6.0,,2.0,1.0,['EXISTING'],2.0,EG--,91159,
2.0,Fenster,0.EG--Fenster-007,3 Flügel,3Sg704G1P7qB8LEO4dArxO,EG,1.0,IfcWindow,True,,Fenster-007,6.0,,2.0,1.0,['EXISTING'],2.0,EG--,91240,
2.0,Fenster,0.EG--Fenster-008,3 Flügel,3XwZTBQXLDMhaPrzpCbSRo,EG,1.0,IfcWindow,True,,Fenster-008,6.0,,2.0,1.0,['EXISTING'],2.0,EG--,91321,
1.0,Fenster,0.EG--Fenster-001,4 Flügel,2ctGf5N_jEm8zimbhWE50e,EG,0.5,IfcWindow,True,,Fenster-001,5.0,,2.0,0.5,['EXISTING'],2.0,EG--,93932,
1.0,Fenster,0.EG--Fenster-002,4 Flügel,1F8_TV7MH2LfWDLzToyUkQ,EG,0.5,IfcWindow,True,,Fenster-002,5.0,,2.0,0.5,['EXISTING'],2.0,EG--,95408,
1.0,Fenster,0.EG--Fenster-003,4 Flügel,3A8zV31Q51Mg$IEkiQv9f7,EG,0.5,IfcWindow,True,,Fenster-003,5.0,,2.0,0.5,['EXISTING'],2.0,EG--,95489,
7.7,Fenster,1.OG--Fenster-002,3 Flügel,1SBcSrwmb1TeFhkyr5DWdy,OG,2.2,IfcWindow,True,,Fenster-002,11.4,,3.5,2.2,['EXISTING'],3.5,OG--,701723,
7.7,Fenster,1.OG--Fenster-003,3 Flügel,3byhYuymr6KRn6UQ7_ikW9,OG,2.2,IfcWindow,True,,Fenster-003,11.4,,3.5,2.2,['EXISTING'],3.5,OG--,701804,
7.7,Fenster,1.OG--Fenster-004,3 Flügel,0y2zx0uMn04eUVv3W7PykZ,OG,2.2,IfcWindow,True,,Fenster-004,11.4,,3.5,2.2,['EXISTING'],3.5,OG--,701885,
7.7,Fenster,1.OG--Fenster-002,3 Flügel,3gCgU5f19Bx82nNg0LpYSM,OG,2.2,IfcWindow,True,,Fenster-002,11.4,,3.5,2.2,['EXISTING'],3.5,OG--,703176,
7.7,Fenster,1.OG--Fenster-003,3 Flügel,0Cuwkd5kbFyAp1BVBUsjvD,OG,2.2,IfcWindow,True,,Fenster-003,11.4,,3.5,2.2,['EXISTING'],3.5,OG--,703257,
7.7,Fenster,1.OG--Fenster-004,3 Flügel,2Rs3YDiabCHvpwXGiomzIp,OG,2.2,IfcWindow,True,,Fenster-004,11.4,,3.5,2.2,['EXISTING'],3.5,OG--,703338,
7.7,Fenster,1.OG--Fenster-004,3 Flügel,0YUT7YdBP0gBgokdOz7SPJ,OG,2.2,IfcWindow,True,,Fenster-004,11.4,,3.5,2.2,['EXISTING'],3.5,OG--,703419,
7.7,Fenster,1.OG--Fenster-004,3 Flügel,39mfDJvC16hR6TzPfgXufe,OG,2.2,IfcWindow,True,,Fenster-004,11.4,,3.5,2.2,['EXISTING'],3.5,OG--,703500,
4.4,Fenster,1.OG--Fenster-007,3 Flügel,3DjcxU4vb5K84qNZ60BLiH,OG,2.2,IfcWindow,True,,Fenster-007,8.4,,2.0,2.2,['EXISTING'],2.0,OG--,705672,
4.4,Fenster,1.OG--Fenster-008,3 Flügel,1UCa7sExr0rwbyhLSpaUmb,OG,2.2,IfcWindow,True,,Fenster-008,8.4,,2.0,2.2,['EXISTING'],2.0,OG--,705753,
4.4,Fenster,1.OG--Fenster-009,3 Flügel,0LL$fmAI1CRw8xAFqeH50E,OG,2.2,IfcWindow,True,,Fenster-009,8.4,,2.0,2.2,['EXISTING'],2.0,OG--,705834,
7.7,Fenster,1.OG--Fenster-001,3 Flügel,0ihAMB$Qj0cR06wGsSvJ3Y,OG,2.2,IfcWindow,True,,Fenster-001,11.4,,3.5,2.2,['EXISTING'],3.5,OG--,706869,
7.7,Fenster,1.OG--Fenster-001,3 Flügel,251kpE4xLESg1zQ22dljSK,OG,2.2,IfcWindow,True,,Fenster-001,11.4,,3.5,2.2,['EXISTING'],3.5,OG--,706950,
7.7,Fenster,1.OG--Fenster-002,3 Flügel,3MYogfKGzDyPybf9Jm9wXn,OG,2.2,IfcWindow,True,,Fenster-002,11.4,,3.5,2.2,['EXISTING'],3.5,OG--,707031,
4.4,Fenster,1.OG--Fenster-007,3 Flügel,3pfokdHC1CkO2skqNxcyjP,OG,2.2,IfcWindow,True,,Fenster-007,8.4,,2.0,2.2,['EXISTING'],2.0,OG--,709195,
4.4,Fenster,1.OG--Fenster-007,3 Flügel,1GwMPK4OnAEw5N$gsqBkGC,OG,2.2,IfcWindow,True,,Fenster-007,8.4,,2.0,2.2,['EXISTING'],2.0,OG--,709276,
4.4,Fenster,1.OG--Fenster-007,3 Flügel,28Sx7ahDL9zBR5SvHV0VMZ,OG,2.2,IfcWindow,True,,Fenster-007,8.4,,2.0,2.2,['EXISTING'],2.0,OG--,709357,
7.7,Fenster,1.OG--Fenster-001,3 Flügel,0W0GHzATf0RPPny50KDQwB,OG,2.2,IfcWindow,True,,Fenster-001,11.4,,3.5,2.2,['EXISTING'],3.5,OG--,717895,
7.7,Fenster,1.OG--Fenster-001,3 Flügel,0dDXTT3PPBtOQAeQCzaHs0,OG,2.2,IfcWindow,True,,Fenster-001,11.4,,3.5,2.2,['EXISTING'],3.5,OG--,717976,
7.7,Fenster,1.OG--Fenster-002,3 Flügel,3NGZG3_irDGPYcDUqp2KHR,OG,2.2,IfcWindow,True,,Fenster-002,11.4,,3.5,2.2,['EXISTING'],3.5,OG--,718057,
